Adj Close;Date;Table Name;Close;High;Low;Open;Volume
$1,842,300.00;3/16/2017;Page    2 Table  1;85342;85550;85051;85530;85342
$2,562,200.00;3/15/2017;Page    2 Table  1;85297;85445;84711;85433;85297
$2,130,600.00;3/14/2017;Page    2 Table  1;85253;85375;84755;85355;85253
$1,909,700.00;3/13/2017;Page    2 Table  1;85459;85569;85171;85177;85459
$2,436,400.00;3/10/2017;Page    2 Table  1;85246;85735;85172;85700;85246
$2,048,200.00;3/9/2017;Page    2 Table  1;85300;85640;85031;85100;853
$2,286,500.00;3/8/2017;Page    2 Table  1;85050;85307;84679;84800;8505
$2,247,600.00;3/7/2017;Page    2 Table  1;84602;84846;84375;84548;84602
$2,610,400.00;3/6/2017;Page    2 Table  1;84661;84849;84112;84523;84661
$1,941,100.00;3/3/2017;Page    2 Table  1;84988;85199;84627;84720;84988
$2,132,100.00;3/2/2017;Page    2 Table  1;84891;85482;84728;85308;84891
$2,760,100.00;3/1/2017;Page    2 Table  1;85308;85483;84901;85305;85308
$2,793,700.00;2/28/2017;Page    2 Table  1;84504;85409;84205;85145;84504
$2,713,600.00;2/27/2017;Page    2 Table  1;84864;85250;83967;84238;84864
$3,688,000.00;2/24/2017;Page    2 Table  1;84524;84581;83775;84469;84524
$3,462,000.00;2/23/2017;Page    2 Table  1;85219;86086;84800;85757;85219
$2,617,000.00;2/22/2017;Page    2 Table  1;85561;85843;85218;85695;85561
$3,507,700.00;2/21/2017;Page    2 Table  1;85644;85798;84725;84884;85644
$3,112,300.00;2/17/2017;Page    2 Table  1;84507;84727;84073;84200;84507
$2,714,700.00;2/16/2017;Page    2 Table  1;84414;84500;83938;84184;84414
$2,968,900.00;2/15/2017;Page    2 Table  1;84270;84281;83282;83400;8427
$2,792,400.00;2/14/2017;Page    3 Table  1;83639;83831;83145;83700;83639
$4,172,600.00;2/13/2017;Page    3 Table  1;83653;84300;82855;83162;83653
$2,429,600.00;2/10/2017;Page    3 Table  1;82746;82800;82285;82382;82746
$2,484,900.00;2/9/2017;Page    3 Table  1;82136;82500;81971;82160;82136
$2,858,000.00;2/8/2017;Page    3 Table  1;81971;82148;81250;81269;81971
$3,466,100.00;2/7/2017;Page    3 Table  1;81250;81616;80750;80931;8125
$3,897,300.00;2/6/2017;Page    3 Table  1;80764;81072;80300;80980;80764
$10,868,800.00;2/3/2017;Page    3 Table  1;81020;81830;80400;80672;8102
$7,350,500.00;2/2/2017;Page    3 Table  1;83995;84249;82826;83659;83995
$3,850,200.00;2/1/2017;Page    3 Table  1;83235;83378;82494;82921;83235
$3,137,200.00;1/31/2017;Page    3 Table  1;82348;82699;81956;82375;82348
$3,747,300.00;1/30/2017;Page    3 Table  1;83038;83350;81638;83300;83038
$2,998,700.00;1/27/2017;Page    3 Table  1;83577;83970;82944;83900;83577
$3,554,700.00;1/26/2017;Page    3 Table  1;83915;84384;83300;83553;83915
$3,922,600.00;1/25/2017;Page    3 Table  1;83652;83742;82529;82579;83652
$2,971,700.00;1/24/2017;Page    3 Table  1;82244;82399;81450;82200;82244
$2,797,500.00;1/23/2017;Page    3 Table  1;81788;81850;80508;80680;81788
$3,376,200.00;1/20/2017;Page    3 Table  1;80833;81602;80626;81528;80833
$2,540,800.00;1/19/2017;Page    3 Table  1;80904;81351;80732;81000;80904
$2,354,200.00;1/18/2017;Page    3 Table  1;80748;81173;80427;80950;80748
$3,670,500.00;1/17/2017;Page    3 Table  1;80972;81600;80344;81570;80972
$3,791,900.00;1/13/2017;Page    3 Table  1;81714;82165;81140;81432;81714
$4,873,900.00;1/12/2017;Page    3 Table  1;81364;81413;79950;80031;81364
$2,992,800.00;1/11/2017;Page    3 Table  1;79902;79950;78951;79366;79902
$2,558,400.00;1/10/2017;Page    3 Table  1;79590;79800;78954;79660;7959
$3,440,100.00;1/9/2017;Page    3 Table  1;79692;80177;79177;79800;79692
$5,986,200.00;1/6/2017;Page    3 Table  1;79599;79944;77848;78236;79599
$5,830,100.00;1/5/2017;Page    3 Table  1;78045;78240;76026;76155;78045
$2,510,500.00;1/4/2017;Page    3 Table  1;75718;75968;75420;75839;75718
$3,521,100.00;1/3/2017;Page    3 Table  1;75367;75876;74770;75792;75367
$4,139,400.00;12/30/2016;Page    3 Table  1;74987;76740;74828;76647;74987
